Date,Open
,112.19
,113.05
,112.28
,114.0
,113.03
,114.8
,114.47
,114.78
,114.19
2018-10-01 16:00:00,114.75
2018-10-02 16:00:00,115.3
2018-10-03 16:00:00,115.42
2018-10-04 16:00:00,114.61
2018-10-05 16:00:00,112.63
2018-10-08 16:00:00,111.66
2018-10-09 16:00:00,111.14
2018-10-10 16:00:00,111.24
2018-10-11 16:00:00,105.35
2018-10-12 16:00:00,109.01
,108.91
,109.54
,111.68
,110.1
,108.93
,109.32
,107.77
,108.41
,106.55
,105.69
,108.11
,103.66
,105.44
2018-11-01 16:00:00,107.05
2018-11-02 16:00:00,106.48
2018-11-05 16:00:00,106.37
2018-11-06 16:00:00,107.38
2018-11-07 16:00:00,109.44
2018-11-08 16:00:00,111.8
2018-11-09 16:00:00,110.85
2018-11-12 16:00:00,109.42
,107.55
,108.1
,104.99
,107.08
,108.27
,101.8
,103.6
,102.17
,104.79
,106.27
,107.89
,110.33
,110.7
2018-12-03 16:00:00,113.0
2018-12-04 16:00:00,111.94
2018-12-06 16:00:00,105.82
2018-12-07 16:00:00,108.38
2018-12-10 16:00:00,104.8
2018-12-11 16:00:00,109.8
2018-12-12 16:00:00,110.89
,109.58
,108.25
,105.41
,103.75
,103.65
,103.05
,101.63
,97.68
,95.14
,99.3
,102.09
,101.29
2019-01-02 16:00:00,99.55
2019-01-03 16:00:00,100.1
2019-01-04 16:00:00,99.72
2019-01-07 16:00:00,101.64
2019-01-08 16:00:00,103.04
2019-01-09 16:00:00,103.86
2019-01-10 16:00:00,103.22
2019-01-11 16:00:00,103.19
,101.9
,102.51
,105.26
,105.0
,107.46
,106.75
,106.12
,106.86
,107.24
,106.26
,104.88
,104.62
,103.8
2019-02-01 16:00:00,103.78
2019-02-04 16:00:00,102.87
2019-02-05 16:00:00,106.06
2019-02-06 16:00:00,107.0
2019-02-07 16:00:00,105.19
2019-02-08 16:00:00,104.39
2019-02-11 16:00:00,106.2
2019-02-12 16:00:00,106.14
,107.5
,106.31
,107.91
,107.79
,107.86
,106.9
,110.05
,111.76
,111.26
,111.69
,112.04
2019-03-01 16:00:00,112.89
2019-03-04 16:00:00,113.02
2019-03-05 16:00:00,112.25
2019-03-06 16:00:00,111.87
2019-03-07 16:00:00,111.4
2019-03-08 16:00:00,109.16
2019-03-11 16:00:00,110.99
2019-03-12 16:00:00,112.82
,114.13
,114.54
,115.34
,116.17
,118.09
,117.39
,117.14
,119.5
,116.56
,118.62
,117.88
,117.44
,118.07
2019-04-01 16:00:00,118.95
2019-04-02 16:00:00,119.06
2019-04-03 16:00:00,119.86
2019-04-04 16:00:00,120.1
2019-04-05 16:00:00,119.39
2019-04-08 16:00:00,119.81
2019-04-09 16:00:00,118.63
2019-04-10 16:00:00,119.76
2019-04-11 16:00:00,120.54
2019-04-12 16:00:00,120.64
,120.94
,121.64
,121.24
,122.19
,122.62
,124.1
,125.79
,130.06
,129.7
,129.9
,129.81
2019-05-01 16:00:00,130.53
2019-05-02 16:00:00,127.98
2019-05-03 16:00:00,127.36
2019-05-06 16:00:00,126.39
2019-05-07 16:00:00,126.46
2019-05-08 16:00:00,125.44
2019-05-09 16:00:00,124.29
2019-05-10 16:00:00,124.91
,124.11
,123.87
,124.26
,126.75
,128.31
,126.52
,127.43
,126.62
,126.2
,126.91
,126.98
,125.38
,125.26
,124.23
2019-06-03 16:00:00,123.85
2019-06-04 16:00:00,121.28
2019-06-05 16:00:00,124.95
2019-06-06 16:00:00,126.44
2019-06-07 16:00:00,129.19
2019-06-10 16:00:00,132.4
2019-06-11 16:00:00,133.88
2019-06-12 16:00:00,131.4
,131.98
,132.26
,132.63
,134.19
,135.0
,137.45
,136.58
,137.0
,137.25
,134.35
,134.14
,134.57
2019-07-01 16:00:00,136.63
2019-07-02 16:00:00,136.12
2019-07-03 13:00:00,136.8
2019-07-05 16:00:00,135.94
2019-07-08 16:00:00,136.4
2019-07-09 16:00:00,136.0
2019-07-10 16:00:00,137.13
2019-07-11 16:00:00,138.2
2019-07-12 16:00:00,138.85
,139.44
,138.96
,137.7
,135.55
,140.22
,137.41
,139.76
,138.9
,140.43
,140.37
,141.5
,140.14
,140.33
2019-08-01 16:00:00,137.0
2019-08-02 16:00:00,138.09
2019-08-05 16:00:00,133.3
2019-08-06 16:00:00,133.8
2019-08-07 16:00:00,133.79
2019-08-08 16:00:00,136.6
2019-08-09 16:00:00,138.61
2019-08-12 16:00:00,137.07
,136.05
,136.36
,134.39
,134.88
,137.85
,138.21
,138.55
,138.66
,137.19
,134.99
,136.39
,134.88
,137.25
,139.15
2019-09-03 16:00:00,136.61
2019-09-04 16:00:00,137.3
2019-09-05 16:00:00,139.11
2019-09-06 16:00:00,140.03
2019-09-09 16:00:00,139.59
2019-09-10 16:00:00,136.8
2019-09-11 16:00:00,135.91
2019-09-12 16:00:00,137.85
,137.78
,135.83
,136.96
,137.36
,140.3
,141.01
,139.23
,140.36
,137.5
,139.44
,140.15
,138.05
2019-10-01 16:00:00,139.66
2019-10-02 16:00:00,136.25
2019-10-03 16:00:00,134.95
2019-10-04 16:00:00,136.75
2019-10-07 16:00:00,137.14
2019-10-08 16:00:00,137.08
